VGS_V,VDS_V,ID_A
0.40,0.020,2.385898e-07
0.40,0.030,3.278474e-07
0.40,0.040,4.000135e-07
0.40,0.050,4.588317e-07
0.40,0.060,5.083874e-07
0.40,0.070,5.522150e-07
0.40,0.080,5.928916e-07
0.40,0.090,6.321154e-07
0.40,0.100,6.709614e-07
0.40,0.110,7.101124e-07
0.40,0.120,7.500148e-07
0.40,0.130,7.909742e-07
0.40,0.140,8.332104e-07
0.40,0.150,8.768909e-07
0.40,0.160,9.221495e-07
0.40,0.170,9.690983e-07
0.40,0.180,1.017835e-06
0.40,0.190,1.068447e-06
0.40,0.200,1.121016e-06
0.40,0.210,1.175617e-06
0.40,0.220,1.232322e-06
0.40,0.230,1.291200e-06
0.40,0.240,1.352318e-06
0.40,0.250,1.415740e-06
0.40,0.260,1.481529e-06
0.40,0.270,1.549748e-06
0.40,0.280,1.620454e-06
0.40,0.290,1.693707e-06
0.40,0.300,1.769563e-06
0.40,0.310,1.848077e-06
0.40,0.320,1.929302e-06
0.40,0.330,2.013290e-06
0.40,0.340,2.100090e-06
0.40,0.350,2.189752e-06
0.40,0.360,2.282320e-06
0.40,0.370,2.377841e-06
0.40,0.380,2.476355e-06
0.40,0.390,2.577904e-06
0.40,0.400,2.682526e-06
0.40,0.410,2.790259e-06
0.40,0.420,2.901138e-06
0.40,0.430,3.015196e-06
0.40,0.440,3.132464e-06
0.40,0.450,3.252974e-06
0.40,0.460,3.376754e-06
0.40,0.470,3.503832e-06
0.40,0.480,3.634234e-06
0.40,0.490,3.767986e-06
0.40,0.500,3.905113e-06
0.40,0.510,4.045640e-06
0.40,0.520,4.189591e-06
0.40,0.530,4.336989e-06
0.40,0.540,4.487859e-06
0.40,0.550,4.642225e-06
0.40,0.560,4.800113e-06
0.40,0.570,4.961548e-06
0.40,0.580,5.126559e-06
0.40,0.590,5.295173e-06
0.40,0.600,5.467421e-06
0.40,0.610,5.643335e-06
0.40,0.620,5.822949e-06
0.40,0.630,6.006300e-06
0.40,0.640,6.193428e-06
0.40,0.650,6.384374e-06
0.40,0.660,6.579184e-06
0.40,0.670,6.777906e-06
0.40,0.680,6.980592e-06
0.40,0.690,7.187298e-06
0.40,0.700,7.398085e-06
0.40,0.710,7.613014e-06
0.40,0.720,7.832155e-06
0.40,0.730,8.055579e-06
0.40,0.740,8.283364e-06
0.40,0.750,8.515590e-06
0.40,0.760,8.752344e-06
0.40,0.770,8.993716e-06
0.40,0.780,9.239803e-06
0.40,0.790,9.490704e-06
0.40,0.800,9.746527e-06
0.50,0.000,-6.603582e-13
0.50,0.010,5.608046e-07
0.50,0.020,1.067200e-06
0.50,0.030,1.519626e-06
0.50,0.040,1.919929e-06
0.50,0.050,2.271259e-06
0.50,0.060,2.578253e-06
0.50,0.070,2.847018e-06
0.50,0.080,3.084667e-06
0.50,0.090,3.298474e-06
0.50,0.100,3.495019e-06
0.50,0.110,3.679689e-06
0.50,0.120,3.856588e-06
0.50,0.130,4.028705e-06
0.50,0.140,4.198172e-06
0.50,0.150,4.366492e-06
0.50,0.160,4.534732e-06
0.50,0.170,4.703652e-06
0.50,0.180,4.873799e-06
0.50,0.190,5.045573e-06
0.50,0.200,5.219263e-06
0.50,0.210,5.395086e-06
0.50,0.220,5.573199e-06
0.50,0.230,5.753720e-06
0.50,0.240,5.936733e-06
0.50,0.250,6.122299e-06
0.50,0.260,6.310460e-06
0.50,0.270,6.501242e-06
0.50,0.280,6.694660e-06
0.50,0.290,6.890718e-06
0.50,0.300,7.089413e-06
0.50,0.310,7.290736e-06
0.50,0.320,7.494671e-06
0.50,0.330,7.701199e-06
0.50,0.340,7.910295e-06
0.50,0.350,8.121932e-06
0.50,0.360,8.336082e-06
0.50,0.370,8.552711e-06
0.50,0.380,8.771787e-06
0.50,0.390,8.993274e-06
0.50,0.400,9.217136e-06
0.50,0.410,9.443338e-06
0.50,0.420,9.671841e-06
0.50,0.430,9.902610e-06
0.50,0.440,1.013561e-05
0.50,0.450,1.037080e-05
0.50,0.460,1.060815e-05
0.50,0.470,1.084763e-05
0.50,0.480,1.108921e-05
0.50,0.490,1.133285e-05
0.50,0.500,1.157854e-05
0.50,0.510,1.182625e-05
0.50,0.520,1.207597e-05
0.50,0.530,1.232767e-05
0.50,0.540,1.258135e-05
0.50,0.550,1.283699e-05
0.50,0.560,1.309461e-05
0.50,0.570,1.335420e-05
0.50,0.580,1.361577e-05
0.50,0.590,1.387933e-05
0.50,0.600,1.414491e-05
0.50,0.610,1.441253e-05
0.50,0.620,1.468222e-05
0.50,0.630,1.495403e-05
0.50,0.640,1.522799e-05
0.50,0.650,1.550417e-05
0.50,0.660,1.578261e-05
0.50,0.670,1.606339e-05
0.50,0.680,1.634659e-05
0.50,0.690,1.663227e-05
0.50,0.700,1.692053e-05
0.50,0.710,1.721147e-05
0.50,0.720,1.750518e-05
0.50,0.730,1.780177e-05
0.50,0.740,1.810137e-05
0.50,0.750,1.840410e-05
0.50,0.760,1.871008e-05
0.50,0.770,1.901947e-05
0.50,0.780,1.933239e-05
0.50,0.790,1.964900e-05
0.50,0.800,1.996947e-05
0.60,0.000,-1.734995e-12
0.60,0.010,1.149076e-06
0.60,0.020,2.238435e-06
0.60,0.030,3.267855e-06
0.60,0.040,4.237612e-06
0.60,0.050,5.148188e-06
0.60,0.060,6.000202e-06
0.60,0.070,6.794430e-06
0.60,0.080,7.531890e-06
0.60,0.090,8.213982e-06
0.60,0.100,8.842672e-06
0.60,0.110,9.420672e-06
0.60,0.120,9.951555e-06
0.60,0.130,1.043973e-05
0.60,0.140,1.089025e-05
0.60,0.150,1.130848e-05
0.60,0.160,1.169969e-05
0.60,0.170,1.206876e-05
0.60,0.180,1.241999e-05
0.60,0.190,1.275699e-05
0.60,0.200,1.308272e-05
0.60,0.210,1.339959e-05
0.60,0.220,1.370949e-05
0.60,0.230,1.401392e-05
0.60,0.240,1.431408e-05
0.60,0.250,1.461089e-05
0.60,0.260,1.490512e-05
0.60,0.270,1.519735e-05
0.60,0.280,1.548804e-05
0.60,0.290,1.577759e-05
0.60,0.300,1.606630e-05
0.60,0.310,1.635442e-05
0.60,0.320,1.664213e-05
0.60,0.330,1.692962e-05
0.60,0.340,1.721701e-05
0.60,0.350,1.750441e-05
0.60,0.360,1.779191e-05
0.60,0.370,1.807958e-05
0.60,0.380,1.836747e-05
0.60,0.390,1.865565e-05
0.60,0.400,1.894414e-05
0.60,0.410,1.923298e-05
0.60,0.420,1.952219e-05
0.60,0.430,1.981180e-05
0.60,0.440,2.010181e-05
0.60,0.450,2.039225e-05
0.60,0.460,2.068312e-05
0.60,0.470,2.097443e-05
0.60,0.480,2.126619e-05
0.60,0.490,2.155842e-05
