VGS_V,VDS_V,ID_A
-0.60,-0.200,9.100720e-06
-0.60,-0.190,8.767574e-06
-0.60,-0.180,8.425145e-06
-0.60,-0.170,8.072417e-06
-0.60,-0.160,7.708466e-06
-0.60,-0.150,7.332480e-06
-0.60,-0.140,6.943773e-06
-0.60,-0.130,6.541775e-06
-0.60,-0.120,6.126035e-06
-0.60,-0.110,5.696196e-06
-0.60,-0.100,5.251992e-06
-0.60,-0.090,4.793228e-06
-0.60,-0.080,4.319769e-06
-0.60,-0.070,3.831528e-06
-0.60,-0.060,3.328464e-06
-0.60,-0.050,2.810565e-06
-0.60,-0.040,2.277850e-06
-0.60,-0.030,1.730362e-06
-0.60,-0.020,1.168167e-06
-0.60,-0.010,5.913462e-07
-0.60,0.000,-7.998096e-17
-0.50,-0.800,1.941031e-05
-0.50,-0.790,1.895925e-05
-0.50,-0.780,1.852431e-05
-0.50,-0.770,1.810433e-05
-0.50,-0.760,1.769824e-05
-0.50,-0.750,1.730503e-05
-0.50,-0.740,1.692375e-05
-0.50,-0.730,1.655352e-05
-0.50,-0.720,1.619350e-05
-0.50,-0.710,1.584292e-05
-0.50,-0.700,1.550108e-05
-0.50,-0.690,1.516733e-05
-0.50,-0.680,1.484105e-05
-0.50,-0.670,1.452169e-05
-0.50,-0.660,1.420877e-05
-0.50,-0.650,1.390181e-05
-0.50,-0.640,1.360041e-05
-0.50,-0.630,1.330419e-05
-0.50,-0.620,1.301284e-05
-0.50,-0.610,1.272606e-05
-0.50,-0.600,1.244358e-05
-0.50,-0.590,1.216520e-05
-0.50,-0.580,1.189071e-05
-0.50,-0.570,1.161994e-05
-0.50,-0.560,1.135276e-05
-0.50,-0.550,1.108905e-05
-0.50,-0.540,1.082871e-05
-0.50,-0.530,1.057166e-05
-0.50,-0.520,1.031783e-05
-0.50,-0.510,1.006719e-05
-0.50,-0.500,9.819681e-06
-0.50,-0.490,9.575290e-06
-0.50,-0.480,9.333996e-06
-0.50,-0.470,9.095789e-06
-0.50,-0.460,8.860664e-06
-0.50,-0.450,8.628622e-06
-0.50,-0.440,8.399666e-06
-0.50,-0.430,8.173802e-06
-0.50,-0.420,7.951037e-06
-0.50,-0.410,7.731380e-06
-0.50,-0.400,7.514840e-06
-0.50,-0.390,7.301425e-06
-0.50,-0.380,7.091141e-06
-0.50,-0.370,6.883995e-06
-0.50,-0.360,6.679991e-06
-0.50,-0.350,6.479129e-06
-0.50,-0.340,6.281410e-06
-0.50,-0.330,6.086829e-06
-0.50,-0.320,5.895379e-06
-0.50,-0.310,5.707045e-06
-0.50,-0.300,5.521813e-06
-0.50,-0.290,5.339656e-06
-0.50,-0.280,5.160545e-06
-0.50,-0.270,4.984440e-06
-0.50,-0.260,4.811289e-06
-0.50,-0.250,4.641029e-06
-0.50,-0.240,4.473578e-06
-0.50,-0.230,4.308833e-06
-0.50,-0.220,4.146664e-06
-0.50,-0.210,3.986908e-06
-0.50,-0.200,3.829354e-06
-0.50,-0.190,3.673733e-06
-0.50,-0.180,3.519699e-06
-0.50,-0.170,3.366809e-06
-0.50,-0.160,3.214493e-06
-0.50,-0.150,3.062029e-06
-0.50,-0.140,2.908516e-06
-0.50,-0.130,2.752862e-06
-0.50,-0.120,2.593793e-06
-0.50,-0.110,2.429902e-06
-0.50,-0.100,2.259726e-06
-0.50,-0.090,2.081849e-06
-0.50,-0.080,1.895006e-06
-0.50,-0.070,1.698148e-06
-0.50,-0.060,1.490479e-06
-0.50,-0.050,1.271447e-06
-0.50,-0.040,1.040721e-06
-0.50,-0.030,7.981550e-07
-0.50,-0.020,5.437502e-07
-0.50,-0.010,2.776272e-07
-0.50,0.000,-2.649598e-17
-0.40,-0.800,1.055621e-05
-0.40,-0.790,1.016854e-05
-0.40,-0.780,9.798023e-06
-0.40,-0.770,9.443620e-06
-0.40,-0.760,9.104365e-06
-0.40,-0.750,8.779340e-06
-0.40,-0.740,8.467682e-06
-0.40,-0.730,8.168576e-06
-0.40,-0.720,7.881258e-06
-0.40,-0.710,7.605011e-06
-0.40,-0.700,7.339166e-06
-0.40,-0.690,7.083097e-06
-0.40,-0.680,6.836222e-06
-0.40,-0.670,6.598002e-06
-0.40,-0.660,6.367937e-06
-0.40,-0.650,6.145564e-06
-0.40,-0.640,5.930458e-06
-0.40,-0.630,5.722228e-06
-0.40,-0.620,5.520516e-06
-0.40,-0.610,5.324995e-06
-0.40,-0.600,5.135367e-06
-0.40,-0.590,4.951362e-06
-0.40,-0.580,4.772734e-06
-0.40,-0.570,4.599263e-06
-0.40,-0.560,4.430747e-06
-0.40,-0.550,4.267007e-06
-0.40,-0.540,4.107883e-06
-0.40,-0.530,3.953228e-06
-0.40,-0.520,3.802914e-06
-0.40,-0.510,3.656823e-06
-0.40,-0.500,3.514851e-06
-0.40,-0.490,3.376903e-06
-0.40,-0.480,3.242894e-06
-0.40,-0.470,3.112746e-06
-0.40,-0.460,2.986387e-06
-0.40,-0.450,2.863751e-06
-0.40,-0.440,2.744776e-06
-0.40,-0.430,2.629405e-06
-0.40,-0.420,2.517579e-06
-0.40,-0.410,2.409245e-06
-0.40,-0.400,2.304350e-06
-0.40,-0.390,2.202840e-06
-0.40,-0.380,2.104662e-06
-0.40,-0.370,2.009762e-06
-0.40,-0.360,1.918087e-06
-0.40,-0.350,1.829579e-06
-0.40,-0.340,1.744184e-06
-0.40,-0.330,1.661841e-06
-0.40,-0.320,1.582493e-06
-0.40,-0.310,1.506077e-06
-0.40,-0.300,1.432530e-06
-0.40,-0.290,1.361789e-06
-0.40,-0.280,1.293788e-06
-0.40,-0.270,1.228460e-06
-0.40,-0.260,1.165735e-06
-0.40,-0.250,1.105544e-06
-0.40,-0.240,1.047816e-06
-0.40,-0.230,9.924758e-07
-0.40,-0.220,9.394505e-07
-0.40,-0.210,8.886629e-07
-0.40,-0.200,8.400345e-07
-0.40,-0.190,7.934838e-07
-0.40,-0.180,7.489258e-07
-0.40,-0.170,7.062707e-07
-0.40,-0.160,6.654222e-07
-0.40,-0.150,6.262742e-07
-0.40,-0.140,5.887066e-07
-0.40,-0.130,5.525779e-07
-0.40,-0.120,5.177145e-07
-0.40,-0.110,4.838933e-07
-0.40,-0.100,4.508145e-07
-0.40,-0.090,4.180629e-07
-0.40,-0.080,3.850574e-07
-0.40,-0.070,3.510016e-07
-0.40,-0.060,3.148717e-07
-0.40,-0.050,2.754913e-07
-0.40,-0.040,2.317108e-07
-0.40,-0.030,1.826209e-07
-0.40,-0.020,1.276877e-07
-0.40,-0.010,6.676122e-08
-0.40,0.000,-7.837373e-18
-0.30,-0.800,3.727344e-06
-0.30,-0.790,3.512082e-06
-0.30,-0.780,3.309868e-06
-0.30,-0.770,3.119897e-06
-0.30,-0.760,2.941405e-06
-0.30,-0.750,2.773670e-06
-0.30,-0.740,2.616014e-06
-0.30,-0.730,2.467796e-06
-0.30,-0.720,2.328413e-06
-0.30,-0.710,2.197300e-06
-0.30,-0.700,2.073926e-06
-0.30,-0.690,1.957793e-06
-0.30,-0.680,1.848436e-06
-0.30,-0.670,1.745418e-06
-0.30,-0.660,1.648334e-06
-0.30,-0.650,1.556803e-06
-0.30,-0.640,1.470473e-06
-0.30,-0.630,1.389013e-06
-0.30,-0.620,1.312118e-06
-0.30,-0.610,1.239502e-06
-0.30,-0.600,1.170901e-06
-0.30,-0.590,1.106068e-06
-0.30,-0.580,1.044776e-06
-0.30,-0.570,9.868129e-07
-0.30,-0.560,9.319811e-07
-0.30,-0.550,8.800983e-07
-0.30,-0.540,8.309949e-07
-0.30,-0.530,7.845132e-07
-0.30,-0.520,7.405066e-07
-0.30,-0.510,6.988387e-07
-0.30,-0.500,6.593823e-07
-0.30,-0.490,6.220190e-07
-0.30,-0.480,5.866378e-07
-0.30,-0.470,5.531353e-07
-0.30,-0.460,5.214143e-07
-0.30,-0.450,4.913836e-07
-0.30,-0.440,4.629574e-07
-0.30,-0.430,4.360550e-07
-0.30,-0.420,4.105999e-07
-0.30,-0.410,3.865199e-07
-0.30,-0.400,3.637468e-07
-0.30,-0.390,3.422153e-07
-0.30,-0.380,3.218639e-07
-0.30,-0.370,3.026336e-07
-0.30,-0.360,2.844685e-07
-0.30,-0.350,2.673148e-07
-0.30,-0.340,2.511217e-07
-0.30,-0.330,2.358401e-07
-0.30,-0.320,2.214234e-07
-0.30,-0.310,2.078268e-07
-0.30,-0.300,1.950076e-07
-0.30,-0.290,1.829250e-07
-0.30,-0.280,1.715398e-07
-0.30,-0.270,1.608147e-07
-0.30,-0.260,1.507139e-07
-0.30,-0.250,1.412033e-07
-0.30,-0.240,1.322503e-07
-0.30,-0.230,1.238239e-07
-0.30,-0.220,1.158942e-07
-0.30,-0.210,1.084329e-07
-0.30,-0.200,1.014129e-07
-0.30,-0.190,9.480810e-08
-0.30,-0.180,8.859365e-08
-0.30,-0.170,8.274551e-08
-0.30,-0.160,7.724038e-08
-0.30,-0.150,7.205550e-08
-0.30,-0.140,6.716830e-08
-0.30,-0.130,6.255588e-08
-0.30,-0.120,5.819429e-08
-0.30,-0.110,5.405730e-08
-0.30,-0.100,5.011433e-08
-0.30,-0.090,4.632689e-08
-0.30,-0.080,4.264259e-08
-0.30,-0.070,3.898497e-08
-0.30,-0.060,3.523853e-08
-0.30,-0.050,3.123264e-08
-0.30,-0.040,2.673979e-08
-0.30,-0.030,2.151185e-08
-0.30,-0.020,1.535202e-08
-0.30,-0.010,8.172828e-09
-0.30,0.000,-2.391252e-18
-0.20,-0.800,6.700118e-07
-0.20,-0.790,6.178467e-07
-0.20,-0.780,5.700003e-07
-0.20,-0.770,5.261133e-07
-0.20,-0.760,4.858541e-07
-0.20,-0.750,4.489167e-07
-0.20,-0.740,4.150194e-07
-0.20,-0.730,3.839029e-07
-0.20,-0.720,3.553291e-07
-0.20,-0.710,3.290794e-07
-0.20,-0.700,3.049532e-07
-0.20,-0.690,2.827671e-07
-0.20,-0.680,2.623532e-07
-0.20,-0.670,2.435579e-07
-0.20,-0.660,2.262411e-07
-0.20,-0.650,2.102750e-07
-0.20,-0.640,1.955430e-07
-0.20,-0.630,1.819391e-07
-0.20,-0.620,1.693666e-07
-0.20,-0.610,1.577377e-07
-0.20,-0.600,1.469724e-07
-0.20,-0.590,1.369984e-07
-0.20,-0.580,1.277496e-07
-0.20,-0.570,1.191661e-07
-0.20,-0.560,1.111937e-07
-0.20,-0.550,1.037829e-07
-0.20,-0.540,9.688900e-08
-0.20,-0.530,9.047127e-08
-0.20,-0.520,8.449273e-08
-0.20,-0.510,7.891975e-08
-0.20,-0.500,7.372174e-08
-0.20,-0.490,6.887083e-08
-0.20,-0.480,6.434163e-08
-0.20,-0.470,6.011096e-08
-0.20,-0.460,5.615762e-08
-0.20,-0.450,5.246221e-08
-0.20,-0.440,4.900697e-08
-0.20,-0.430,4.577555e-08
-0.20,-0.420,4.275292e-08
-0.20,-0.410,3.992522e-08
-0.20,-0.400,3.727967e-08
-0.20,-0.390,3.480440e-08
-0.20,-0.380,3.248845e-08
-0.20,-0.370,3.032159e-08
-0.20,-0.360,2.829435e-08
-0.20,-0.350,2.639786e-08
-0.20,-0.340,2.462386e-08
-0.20,-0.330,2.296463e-08
-0.20,-0.320,2.141294e-08
-0.20,-0.310,1.996201e-08
-0.20,-0.300,1.860549e-08
-0.20,-0.290,1.733742e-08
-0.20,-0.280,1.615221e-08
-0.20,-0.270,1.504459e-08
-0.20,-0.260,1.400963e-08
-0.20,-0.250,1.304268e-08
-0.20,-0.240,1.213939e-08
-0.20,-0.230,1.129564e-08
-0.20,-0.220,1.050758e-08
-0.20,-0.210,9.771579e-09
-0.20,-0.200,9.084208e-09
-0.20,-0.190,8.442244e-09
-0.20,-0.180,7.842637e-09
-0.20,-0.170,7.282502e-09
-0.20,-0.160,6.759091e-09
-0.20,-0.150,6.269776e-09
-0.20,-0.140,5.812014e-09
-0.20,-0.130,5.383306e-09
-0.20,-0.120,4.981138e-09
-0.20,-0.110,4.602880e-09
-0.20,-0.100,4.245629e-09
-0.20,-0.090,3.905936e-09
-0.20,-0.080,3.579329e-09
-0.20,-0.070,3.259496e-09
-0.20,-0.060,2.936992e-09
-0.20,-0.050,2.597646e-09
-0.20,-0.040,2.221872e-09
-0.20,-0.030,1.787339e-09
-0.20,-0.020,1.275696e-09
-0.20,-0.010,6.788793e-10
-0.20,0.000,-3.341184e-19
-0.10,-0.800,7.228645e-08
-0.10,-0.790,6.595456e-08
-0.10,-0.780,6.021784e-08
-0.10,-0.770,5.501879e-08
-0.10,-0.760,5.030534e-08
-0.10,-0.750,4.603036e-08
-0.10,-0.740,4.215123e-08
-0.10,-0.730,3.862940e-08
-0.10,-0.720,3.543006e-08
-0.10,-0.710,3.252180e-08
-0.10,-0.700,2.987626e-08
-0.10,-0.690,2.746790e-08
-0.10,-0.680,2.527367e-08
-0.10,-0.670,2.327285e-08
-0.10,-0.660,2.144674e-08
-0.10,-0.650,1.977856e-08
-0.10,-0.640,1.825319e-08
-0.10,-0.630,1.685703e-08
-0.10,-0.620,1.557786e-08
-0.10,-0.610,1.440471e-08
-0.10,-0.600,1.332771e-08
-0.10,-0.590,1.233797e-08
-0.10,-0.580,1.142753e-08
-0.10,-0.570,1.058923e-08
-0.10,-0.560,9.816605e-09
-0.10,-0.550,9.103866e-09
-0.10,-0.540,8.445793e-09
-0.10,-0.530,7.837682e-09
-0.10,-0.520,7.275297e-09
-0.10,-0.510,6.754813e-09
-0.10,-0.500,6.272778e-09
-0.10,-0.490,5.826069e-09
-0.10,-0.480,5.411858e-09
-0.10,-0.470,5.027582e-09
-0.10,-0.460,4.670913e-09
-0.10,-0.450,4.339733e-09
-0.10,-0.440,4.032113e-09
-0.10,-0.430,3.746291e-09
-0.10,-0.420,3.480657e-09
-0.10,-0.410,3.233735e-09
-0.10,-0.400,3.004171e-09
-0.10,-0.390,2.790719e-09
-0.10,-0.380,2.592232e-09
-0.10,-0.370,2.407651e-09
-0.10,-0.360,2.236000e-09
-0.10,-0.350,2.076371e-09
-0.10,-0.340,1.927926e-09
-0.10,-0.330,1.789886e-09
-0.10,-0.320,1.661529e-09
-0.10,-0.310,1.542182e-09
-0.10,-0.300,1.431218e-09
-0.10,-0.290,1.328057e-09
-0.10,-0.280,1.232156e-09
-0.10,-0.270,1.143009e-09
-0.10,-0.260,1.060145e-09
-0.10,-0.250,9.831249e-10
-0.10,-0.240,9.115395e-10
-0.10,-0.230,8.450067e-10
-0.10,-0.220,7.831701e-10
-0.10,-0.210,7.256970e-10
-0.10,-0.200,6.722766e-10
-0.10,-0.190,6.226186e-10
-0.10,-0.180,5.764509e-10
-0.10,-0.170,5.335182e-10
-0.10,-0.160,4.935800e-10
-0.10,-0.150,4.564088e-10
-0.10,-0.140,4.217871e-10
-0.10,-0.130,3.895044e-10
-0.10,-0.120,3.593524e-10
-0.10,-0.110,3.311180e-10
-0.10,-0.100,3.045720e-10
-0.10,-0.090,2.794496e-10
-0.10,-0.080,2.554167e-10
-0.10,-0.070,2.320132e-10
-0.10,-0.060,2.085614e-10
-0.10,-0.050,1.840539e-10
-0.10,-0.040,1.571045e-10
-0.10,-0.030,1.261364e-10
-0.10,-0.020,8.986210e-11
-0.10,-0.010,4.773327e-11
-0.10,0.000,-2.718072e-19
0.00,-0.800,5.879707e-09
0.00,-0.790,5.334776e-09
0.00,-0.780,4.844135e-09
0.00,-0.770,4.402193e-09
0.00,-0.760,4.003927e-09
0.00,-0.750,3.644830e-09
0.00,-0.740,3.320860e-09
0.00,-0.730,3.028392e-09
0.00,-0.720,2.764178e-09
0.00,-0.710,2.525307e-09
0.00,-0.700,2.309175e-09
0.00,-0.690,2.113449e-09
0.00,-0.680,1.936043e-09
0.00,-0.670,1.775089e-09
0.00,-0.660,1.628918e-09
0.00,-0.650,1.496038e-09
0.00,-0.640,1.375114e-09
0.00,-0.630,1.264954e-09
0.00,-0.620,1.164491e-09
0.00,-0.610,1.072772e-09
0.00,-0.600,9.889461e-10
0.00,-0.590,9.122506e-10
0.00,-0.580,8.420045e-10
0.00,-0.570,7.775981e-10
0.00,-0.560,7.184858e-10
0.00,-0.550,6.641788e-10
0.00,-0.540,6.142391e-10
0.00,-0.530,5.682738e-10
0.00,-0.520,5.259302e-10
0.00,-0.510,4.868913e-10
0.00,-0.500,4.508718e-10
0.00,-0.490,4.176147e-10
0.00,-0.480,3.868885e-10
0.00,-0.470,3.584836e-10
0.00,-0.460,3.322106e-10
0.00,-0.450,3.078980e-10
0.00,-0.440,2.853898e-10
0.00,-0.430,2.645444e-10
0.00,-0.420,2.452327e-10
0.00,-0.410,2.273370e-10
0.00,-0.400,2.107495e-10
0.00,-0.390,1.953716e-10
0.00,-0.380,1.811130e-10
0.00,-0.370,1.678904e-10
0.00,-0.360,1.556274e-10
0.00,-0.350,1.442536e-10
0.00,-0.340,1.337040e-10
0.00,-0.330,1.239183e-10
0.00,-0.320,1.148412e-10
0.00,-0.310,1.064212e-10
0.00,-0.300,9.861064e-11
0.00,-0.290,9.136538e-11
0.00,-0.280,8.464449e-11
0.00,-0.270,7.840997e-11
0.00,-0.260,7.262657e-11
0.00,-0.250,6.726154e-11
0.00,-0.240,6.228447e-11
0.00,-0.230,5.766712e-11
0.00,-0.220,5.338322e-11
0.00,-0.210,4.940837e-11
0.00,-0.200,4.571984e-11
0.00,-0.190,4.229648e-11
0.00,-0.180,3.911855e-11
0.00,-0.170,3.616759e-11
0.00,-0.160,3.342630e-11
0.00,-0.150,3.087836e-11
0.00,-0.140,2.850825e-11
0.00,-0.130,2.630103e-11
0.00,-0.120,2.424199e-11
0.00,-0.110,2.231622e-11
0.00,-0.100,2.050779e-11
0.00,-0.090,1.879846e-11
0.00,-0.080,1.716550e-11
0.00,-0.070,1.557778e-11
0.00,-0.060,1.398979e-11
0.00,-0.050,1.233415e-11
0.00,-0.040,1.051840e-11
0.00,-0.030,8.437561e-12
0.00,-0.020,6.006131e-12
0.00,-0.010,3.187962e-12
0.00,0.000,-3.089810e-26
