frequency,Vgate,Ir,Ii,Vr,Vi,C_gg
141253.75,0.2,-5.637900000000001e-18,-2.6710500000000002e-14,0.001,0.0,3.009554158708049e-17
158489.31999999998,0.2,-5.637900000000001e-18,-2.99696e-14,0.001,0.0,3.009546625909473e-17
177827.94,0.2,-5.637900000000001e-18,-3.3626500000000003e-14,0.001,0.0,3.009551645191199e-17
199526.23,0.2,-5.637900000000001e-18,-3.77295e-14,0.001,0.0,3.009547379001581e-17
223872.11,0.2,-5.637900000000001e-18,-4.23332e-14,0.001,0.0,3.009547744423289e-17
251188.63999999998,0.2,-5.637900000000001e-18,-4.74987e-14,0.001,0.0,3.0095520623221696e-17
281838.29,0.2,-5.637900000000001e-18,-5.329440000000001e-14,0.001,0.0,3.0095510440106306e-17
316227.77,0.2,-5.637900000000001e-18,-5.97973e-14,0.001,0.0,3.009550957067747e-17
354813.39,0.2,-5.637900000000001e-18,-6.70937e-14,0.001,0.0,3.009552149462199e-17
398107.17,0.2,-5.637900000000001e-18,-7.52803e-14,0.001,0.0,3.009549378987776e-17
446683.58999999997,0.2,-5.637900000000001e-18,-8.446590000000001e-14,0.001,0.0,3.0095498936295655e-17
501187.23,0.2,-5.637900000000001e-18,-9.477230000000001e-14,0.001,0.0,3.0095499466712336e-17
562341.33,0.2,-5.637900000000001e-18,-1.063363e-13,0.001,0.0,3.0095507607635226e-17
630957.3400000001,0.2,-5.637900000000001e-18,-1.1931130000000002e-13,0.001,0.0,3.009551035846584e-17
707945.78,0.2,-5.637900000000001e-18,-1.3386940000000002e-13,0.001,0.0,3.0095492254712184e-17
794328.23,0.2,-5.637900000000001e-18,-1.5020400000000002e-13,0.001,0.0,3.0095504816913094e-17
891250.9400000001,0.2,-5.637900000000001e-18,-1.685316e-13,0.001,0.0,3.0095493876490126e-17
1000000.0,0.2,-5.637900000000001e-18,-1.890956e-13,0.001,0.0,3.009549945692781e-17
1122020.0,0.2,-5.637900000000001e-18,-2.1216880000000003e-13,0.001,0.0,3.009546468857572e-17
1258930.0,0.2,-5.637900000000001e-18,-2.380573e-13,0.001,0.0,3.009539532309998e-17
1412540.0,0.2,-5.637900000000001e-18,-2.671046e-13,0.001,0.0,3.0095443252993525e-17
1584890.0,0.2,-5.637900000000001e-18,-2.996963e-13,0.001,0.0,3.0095557149929393e-17
1778280.0,0.2,-5.637900000000001e-18,-3.362648e-13,0.001,0.0,3.009548839766941e-17
1995260.0,0.2,-5.637900000000001e-18,-3.7729530000000003e-13,0.001,0.0,3.00955324119862e-17
2238720.0,0.2,-5.637900000000001e-18,-4.233323e-13,0.001,0.0,3.009551355929333e-17
2511890.0,0.2,-5.637900000000001e-18,-4.749867e-13,0.001,0.0,3.0095458482619525e-17
2818380.0,0.2,-5.637900000000001e-18,-5.329438e-13,0.001,0.0,3.0095530113106983e-17
3162280.0,0.2,-5.637900000000001e-18,-5.979728e-13,0.001,0.0,3.009547761567645e-17
