frequency,Vgate,Ir,Ii,Vr,Vi,C_gg
31622780.0,0.2,-3.64327e-14,-3.6806e-12,0.001,0.0,1.8524167816492732e-17
35481340.0,0.2,-3.64327e-14,-4.129699999999999e-12,0.001,0.0,1.8524164208189435e-17
39810720.0,0.2,-3.64327e-14,-4.6336e-12,0.001,0.0,1.852416495633855e-17
44668360.0,0.2,-3.64327e-14,-5.199e-12,0.001,0.0,1.8524220480330236e-17
50118720.0,0.2,-3.64327e-14,-5.8333e-12,0.001,0.0,1.8523987235467165e-17
56234130.0,0.2,-3.64327e-14,-6.5451e-12,0.001,0.0,1.8524071022895956e-17
63095730.0,0.2,-3.64327e-14,-7.3437e-12,0.001,0.0,1.8524013520153455e-17
70794580.0,0.2,-3.64327e-14,-8.239800000000001e-12,0.001,0.0,1.852408616716985e-17
79432820.0,0.2,-3.64327e-14,-9.2452e-12,0.001,0.0,1.852407203814734e-17
89125090.0,0.2,-3.64327e-14,-1.03733e-11,0.001,0.0,1.852409878267902e-17
100000000.0,0.2,-3.64327e-14,-1.1638999999999999e-11,0.001,0.0,1.8524043826465698e-17
112201850.0,0.2,-3.64327e-14,-1.30592e-11,0.001,0.0,1.852408166911401e-17
125892540.0,0.2,-3.64327e-14,-1.46527e-11,0.001,0.0,1.852412886929293e-17
141253750.0,0.2,-3.64327e-14,-1.64405e-11,0.001,0.0,1.8524016827180202e-17
158489320.0,0.2,-3.64327e-14,-1.84466e-11,0.001,0.0,1.852407198944987e-17
177827940.0,0.2,-3.64327e-14,-2.06974e-11,0.001,0.0,1.8524049253172446e-17
199526230.0,0.2,-3.64327e-14,-2.32229e-11,0.001,0.0,1.8524077400393805e-17
223872110.0,0.2,-3.6433500000000003e-14,-2.60565e-11,0.001,0.0,1.8524061682690045e-17
251188640.0,0.2,-3.6433500000000003e-14,-2.92359e-11,0.001,0.0,1.8524078161895948e-17
281838290.0,0.2,-3.6433500000000003e-14,-3.28032e-11,0.001,0.0,1.8524067220362643e-17
316227770.0,0.2,-3.6433500000000003e-14,-3.68058e-11,0.001,0.0,1.852406891542663e-17
354813390.0,0.2,-3.6434e-14,-4.1296799999999997e-11,0.001,0.0,1.8524075018356506e-17
398107170.0,0.2,-3.6434e-14,-4.63358e-11,0.001,0.0,1.8524086396427986e-17
446683590.0,0.2,-3.6434e-14,-5.19896e-11,0.001,0.0,1.852407837362103e-17
501187230.0,0.2,-3.64344e-14,-5.83333e-11,0.001,0.0,1.8524081393419496e-17
562341330.0,0.2,-3.64353e-14,-6.545099999999999e-11,0.001,0.0,1.852407003466674e-17
630957340.0,0.2,-3.643610000000001e-14,-7.34372e-11,0.001,0.0,1.8524062794527658e-17
707945780.0,0.2,-3.64366e-14,-8.239790000000001e-11,0.001,0.0,1.8524064209255805e-17
794328230.0,0.2,-3.64374e-14,-9.245199999999999e-11,0.001,0.0,1.8524071338534584e-17
891250940.0,0.2,-3.64392e-14,-1.037328e-10,0.001,0.0,1.852406223634722e-17
1000000000.0,0.2,-3.64396e-14,-1.1639019999999998e-10,0.001,0.0,1.8524075657454314e-17
1122020000.0,0.2,-3.6441800000000005e-14,-1.305919e-10,0.001,0.0,1.8524042720060684e-17
1258930000.0,0.2,-3.6444400000000003e-14,-1.465265e-10,0.001,0.0,1.852399797364e-17
1412540000.0,0.2,-3.6447400000000006e-14,-1.644055e-10,0.001,0.0,1.8524040378675717e-17
1584890000.0,0.2,-3.64504e-14,-1.84466e-10,0.001,0.0,1.852410939080287e-17
1778280000.0,0.2,-3.64548e-14,-2.069742e-10,0.001,0.0,1.852406090294586e-17
1995260000.0,0.2,-3.6460900000000005e-14,-2.322289e-10,0.001,0.0,1.8524090777038306e-17
2238720000.0,0.2,-3.6468200000000004e-14,-2.6056509999999995e-10,0.001,0.0,1.8524077893722308e-17
2511890000.0,0.2,-3.6476500000000005e-14,-2.923589e-10,0.001,0.0,1.8524045277424217e-17
2818380000.0,0.2,-3.6489e-14,-3.2803199999999997e-10,0.001,0.0,1.8524086280884978e-17
3162280000.0,0.2,-3.65029e-14,-3.68058e-10,0.001,0.0,1.8524055442439258e-17
3548130000.0,0.2,-3.65207e-14,-4.1296789999999997e-10,0.001,0.0,1.852409089387354e-17
3981070000.0,0.2,-3.6543700000000004e-14,-4.633576e-10,0.001,0.0,1.852407831542706e-17
4466840000.0,0.2,-3.65727e-14,-5.198957e-10,0.001,0.0,1.852405068173946e-17
5011870000.0,0.2,-3.66087e-14,-5.833326e-10,0.001,0.0,1.8524077192075482e-17
5623410000.0,0.2,-3.66538e-14,-6.545099999999999e-10,0.001,0.0,1.8524080905193898e-17
6309570000.0,0.2,-3.6711100000000006e-14,-7.343723e-10,0.001,0.0,1.852408034378956e-17
7079460000.0,0.2,-3.67831e-14,-8.239791999999999e-10,0.001,0.0,1.8524062948996876e-17
7943280000.0,0.2,-3.6873300000000004e-14,-9.245199e-10,0.001,0.0,1.852407469859111e-17
8912510000.0,0.2,-3.69878e-14,-1.0373000000000001e-09,0.001,0.0,1.8523560979928557e-17
10000000000.0,0.2,-3.71305e-14,-1.1639e-09,0.001,0.0,1.85240438264657e-17
10.0,0.4,-1.51411e-14,-1.2217e-18,0.001,0.0,1.9443959397536853e-17
11.22018,0.4,-1.51411e-14,-1.3708e-18,0.001,0.0,1.9444393582845387e-17
12.58925,0.4,-1.51411e-14,-1.5381000000000001e-18,0.001,0.0,1.94448611291097e-17
14.12538,0.4,-1.51411e-14,-1.7258e-18,0.001,0.0,1.9445112328871365e-17
15.84893,0.4,-1.51411e-14,-1.9363e-18,0.001,0.0,1.9444323137829303e-17
17.78279,0.4,-1.51411e-14,-2.1726000000000003e-18,0.001,0.0,1.94446444771294e-17
